Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Victoria,Remote,Hybrid,Not Applicable
Programmer Analyst,University of British Columbia,"Sql, Database, Tableau, Database, Power BI, Ssrs, C#, Qlikview, Excel",Vancouver,BC,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Port Coquitlam,Remote,Hybrid,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Toronto,Remote,Hybrid,Not Applicable
Servicing Analyst,BMO Financial Group,Unknown,Toronto,ON,In Person,Not Applicable
Financial Data Analyst and Report Developer,Stir Consulting Inc.,"Python, Vba, Sql",Montreal,QC,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Thunder Bay,Remote,Hybrid,Not Applicable
Senior QA Analyst,Viv Technologies Inc.,Unknown,Remote in Toronto,Remote,Hybrid,Senior
Principal Business Continuity Analyst,Dayforce,Database,Remote,Remote,Remote,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Calgary,Remote,Hybrid,Not Applicable
IT Business Analyst - Regular Full-Time,District of Squamish,"C#, Database",Squamish,BC,In Person,Not Applicable
"Business Systems Analyst, Capital Markets Technology, Hybrid",Scotiabank,"Sql, Perl, Shell, Python, Html, Excel, Gap, Java",Toronto,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Edmonton,Remote,Hybrid,Not Applicable
"Business Analyst, ServiceNow, Scotiabank",Scotiabank,Database,Toronto,ON,In Person,Not Applicable
Customs Compliance Analyst,Panasonic Corporation,Excel,Mississauga,ON,In Person,Not Applicable
Business Analyst- Captial Markets @ Toronto - Hybrid - Fulltime,Atlantis IT group,Unknown,Toronto,ON,In Person,Not Applicable
database analyst,TEI Web Solutions,Database,North Vancouver,BC,In Person,Not Applicable
"Senor. Analyst, People Process & Technology",Loblaw Companies Limited,Unknown,Brampton,ON,In Person,Not Applicable
Asset Investment Analyst,Toronto Hydro,"Database, Tableau, Sql, Alteryx, Python, R",Toronto,ON,In Person,Not Applicable
"2024 Capital Markets, Global Credit, Fall Business Systems Analyst (4 Months)",Royal Bank of Canada,Unknown,Toronto,ON,In Person,Not Applicable
Senior Allocations Analyst,Arc'teryx,Excel,North Vancouver,BC,In Person,Senior
Functional Analyst,Desjardins,Sas,Montreal,QC,In Person,Not Applicable
Senior Business Analyst,Port of Vancouver,"Excel, Jira",Vancouver,BC,In Person,Senior
Senior Allocations Analyst,Arc'teryx,Excel,North Vancouver,BC,In Person,Senior
Functional Analyst,Desjardins,Sas,Montreal,QC,In Person,Not Applicable
